source_name,source_id,system:index,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
Agrana Zucker Gmbh,38480613,00000000000000000000,34.19454969390581,,25.71824626592947,288.1533498010296,26.26416038862377,1.3919376596220128,,1.1213534615478515,0.01497515234375,,
Agrana Zucker Gmbh,38480620,00000000000000000001,21.465359845463293,,25.53724517117848,259.98906296651717,24.18489360794797,0.7828311985126569,,1.8138676926879882,5.989500732421875E-4,,
Austria,32267416,00000000000000000002,4.740121429137945,0.0,7.73777886615828,1.2204063480892404,3.658114432612161,0.4600883919067383,0.010909954895019532,0.0278770862101237,0.0,,0.0024246127319335936
Bunge Austria Gmbh,38480528,00000000000000000003,35.01297399337351,,27.904615735556437,244.85785263247567,20.001614647987285,0.6573636058349609,,0.3153242957445332,0.00903627215576172,,
D.Swarovski Kg,38469135,00000000000000000004,10.17208961316277,0.0,12.960554333755315,14.494078897463332,18.55367655902626,0.14544323120117186,0.0018343671875,2.03975112746965,,,0.08320981091308594
Eibetex,38479269,00000000000000000005,82.55471547245354,,76.10827797279504,255.98908945682425,15.517837145436246,0.10674767535400391,,1.1963755359284047,0.014818651672363282,,
Gartenau Cement Plant,32437243,00000000000000000006,28.775764693232986,,43.56608521598425,6.2106708878817685,29.565473847881947,0.13805358123779296,0.0,1.5346813711511949,0.0,,0.0
Getzner Textil Ag,38473498,00000000000000000007,14.460738893848372,0.0,18.19137955585172,2.698028643778004,8.82431300587326,0.27154171270751953,0.1196103203125,1.039535595735677,,,0.049655498599302995
Gmunden Cement Plant,32437244,00000000000000000008,46.951276464778644,,51.2083318707838,95.89922879304264,29.49752688533887,0.5297999010914523,0.0,24.097217121492992,,,0.0
Gottstein Gmbh & Co.Kg (#),38477448,00000000000000000009,6.8992519024093335,0.0,10.798801540563963,3.396621572411152,5.632742946711522,0.22310604327607997,0.040967148742675784,0.972122854235361,,,0.05258021728515625
Hefel Textil Gmbh,38472832,0000000000000000000a,45.451611804999104,,77.55578388569519,54.60815265433398,13.319491370066446,0.15255161141572843,,0.05553493200683594,0.001792925537109375,,
Heratex (#),38479518,0000000000000000000b,3.797168544882142,0.0,8.095722441627892,2.341319702918677,2.463552942534802,0.0097331279296875,0.0,0.04751283129882813,0.0,,6.095003051757813E-4
Huber,38475947,0000000000000000000c,3.4805564519840013,0.0,6.0369730375227375,3.480497929895019,2.0295697380208333,0.021931189636230468,0.0,0.11274681561279297,0.0,,0.0
Jungbunzlauer Austria Ag,38480512,0000000000000000000d,41.68224587075243,,40.2020355947876,472.78261548873,17.306454559734277,0.37709506317737057,,0.381629411315918,0.06708436590576172,,
Kirchdorfer Cement Plant,32437240,0000000000000000000e,35.439178712163255,,42.29352356521308,97.35708086296717,14.254091290452664,0.31412388787123735,,0.6649842934618183,,,
"Laakirchen Papier AG, Heinzel Group",44375328,0000000000000000000f,67.28936166306703,,63.867739104421275,167.98493634966914,34.183148645034834,0.7582889546544691,,19.149961878821518,,,
Linz Melamine and Fertilizers Complex,45257135,00000000000000000010,82.2415773268775,5.995064086914062E-4,46.575250463207055,150.1135106283194,68.4595939821897,0.7506021337768555,,10.151634558975996,0.0245783955078125,,
Mannersdorf Cement Plant,1895156,00000000000000000011,61.07869040016873,,34.39462763365144,263.0764763891863,24.196888015408398,0.7720103315266926,,0.9303963064656575,0.020476315307617187,,
Mondi Neusiedler GmbH,44375330,00000000000000000012,50.68413532967384,,61.37501092251648,123.0834039868245,22.561374241259045,0.38888183528813386,,0.9170158249109603,0.0,,
"OMV AG , Schwechat",18648341,00000000000000000013,42.351227497409,,36.49175750787044,260.9875921846434,100.18955818587138,1.1620105139715455,,7.62542654799015,0.021672125427246093,,
"Papierfabrik Wattens GmbH & Co KG, delfort",44375331,00000000000000000014,10.69223310767559,0.0,12.889535225646254,14.45813731751709,19.54890297472259,0.14666571936035155,0.0018343671875,2.044272623573692,,,0.07591540042604933
Retznei Cement Plant,32437242,00000000000000000015,62.43106446973254,,23.408321950913127,104.16414652870084,16.55429046890845,0.5881510143432617,,2.097714852687462,0.07403049584960937,,
Saint-Gobain Isover Austria Gmbh,38469146,00000000000000000016,2.5531774615725045,,1.571137730577656,0.4915721763305664,0.8413511567665248,0.0036197476196289063,,0.0,,,
Seibersdorfer Bettfedern- Und Daunenfabrik Gmbh,38472842,00000000000000000017,71.63251742561275,,51.22536351690818,298.83732296834523,46.55472698670629,0.8727251927459118,,3.5512902225358554,0.004232980224609375,,
Stölzle-Oberglas Gmbh,38469184,00000000000000000018,19.36147411843238,,20.165415255822513,8.055203811850394,6.877864178485227,0.07606525360107422,,0.2147069001464844,,,
UPM-Kymmene Steyrermuhl Austria GmbH,44375329,00000000000000000019,70.07320121194465,,66.68259782173521,172.00995581634993,35.0997263737051,0.7652043240310968,,15.925407124383426,,,
Vetropack Austria Gmbh,38469123,0000000000000000001a,69.67147048215574,,44.34832059868356,323.77895140187906,33.346834924146684,0.6390833460585651,,1.5378094417487649,,,
Vetropack Austria Gmbh,38469169,0000000000000000001b,35.35197831502686,,38.55006566953939,111.8573188813819,16.45053929936907,0.23417559509277344,,1.3307049361572265,0.0,,
Vils Cement Plant,32437245,0000000000000000001c,17.767033268492458,,81.80897379248913,1.6248163644516889,15.279011095936257,0.1105995400390625,0.0,1.816746290702072,0.007286496398925781,,
Voestalpine Stahl Donawitz steel plant,1566430,0000000000000000001d,13.268206705300962,,21.913299088746076,11.499610480086742,12.84340176562189,0.22747483697509766,,0.8254311705322266,,,0.0
Voestalpine Stahl Linz steel plant,1566429,0000000000000000001e,81.44272270461379,5.995064086914062E-4,45.92790355380548,164.0404002885997,69.30921051076638,0.7840917403942632,,10.524149821476236,0.0245783955078125,,
Wietersdorf Cement Plant,32437246,0000000000000000001f,21.20311214011135,,17.74167976865545,40.072310953240375,5.709322220042748,0.3681426665350222,,0.10348417553710937,,,0.0
Wolford Ag,38476726,00000000000000000020,51.04005819908761,,90.98540486841824,25.23065405139639,48.31845146713101,0.2358980594482422,,69.79302973676906,0.0,,
Wopfinger Cement Plant,32437239,00000000000000000021,21.211263121753404,,18.94619291352371,45.440711426115854,30.804961102275765,0.7165092640569948,,0.4629267025756836,0.0,,
Ybbstaler Zellstoff GmbH,44375327,00000000000000000022,40.903828833402756,,50.804202976281964,95.66525299034465,18.814449079502484,0.3401822301961263,,0.2206322089487113,,,
3B-Fibreglass,38468967,00000000000000000023,87.05988935546561,,191.15011382525873,52.72056987021244,62.97579540548214,0.41228247058105466,,4.911158737682865,0.002284769775390625,,
Agc Flat Glass Europe - Site De Roux (Ex-Glaverbel Sa),38469196,00000000000000000024,136.1113916591002,,81.56399126944842,231.57934208893835,101.93034984768931,0.3648771133422852,,2.237133353135532,0.0,,
Agc Glass Europe - Site De Moustier (Ex-Glaverbel Sa),38469213,00000000000000000025,119.59251334269867,,87.50699594822139,246.03684017449126,64.29971884467892,0.4951750706787109,,2.1891147485277362,0.0017204835815429688,,
Agc Glass Europe Vestiging Mol,38469239,00000000000000000026,112.0933655745873,0.015818660766601562,110.6311799434338,78.16914033999915,78.70834330758962,0.5650112215576172,,9.51974637109375,0.106720533203125,,
Alpro,38480249,00000000000000000027,100.10585422667911,0.0,143.62402415755594,239.90314941756168,172.85640916471135,0.4502202541764801,,2.9113627835743623,0.01990820935058594,,
Antoing Cement Plant,32437251,00000000000000000028,83.21359357894,0.004009897216796875,110.89624530799597,293.03620628633774,43.1864073777337,0.39705912756347655,,2.5818281740308575,0.014312489868164063,,
Antwerp Chemical Complex,45257032,00000000000000000029,43.92011675957198,0.0016915989379882813,58.661170734351785,105.69068213698637,60.67613884767231,0.9554064578548656,,17.835603819496065,0.33726558561628756,,
Aperam Stainless Belgium Châtelet steel plant,1566442,0000000000000000002a,144.6615946034827,,85.66746368477618,209.5323535972252,91.17322245531943,0.5492254614257812,,1.791728562461225,0.0017204835815429688,,
Aperam Stainless Belgium Genk steel plant,1566441,0000000000000000002b,114.77276544822564,0.005680885559082032,87.72451033114852,84.3043061004095,104.72029301047557,0.39533980853271483,,3.9756570120160273,0.007950905334472656,,
ArcelorMittal Gent steel plant,1566440,0000000000000000002c,87.35203302731071,5.727900419347427E-4,166.3656621064238,227.58198887687962,97.21200879949913,0.7861826599121093,,10.828197462278359,0.4944977520605947,,
Avs Spinning Nv,38471296,0000000000000000002d,98.85122257560492,,117.60069121932104,287.596876710786,132.9209952418737,0.43877889493336397,,2.4280490196195714,0.04907898596191406,,
"BASF Antwerpen, NV Antwerp",18648342,0000000000000000002e,40.87081708456864,0.0016915989379882813,58.677538484563826,109.8055205079035,59.21108828623602,0.9342684501302084,,17.54122712829087,0.34977424395751955,,
BEL-Antwerpen_ammonia,33999004,0000000000000000002f,156.14275137836157,0.005078260986328125,154.34112873781208,87.59324254372218,84.45097165084563,0.18393008569335936,,4.029418689856914,0.07575223779296875,,
BEL-Hainaut_ammonia,33998943,00000000000000000030,115.59411257308206,0.0,117.48816571600915,278.79570795469783,66.8843492758643,0.610046208803663,,3.63826824131003,0.01665702960205078,,
Belimtex Bvba,38470810,00000000000000000031,78.91620954815359,0.0,178.5752331341355,251.0269308499501,121.89104289043114,0.3734862972871668,,3.4811399259729727,0.0556648173828125,,
Beneo - Orafti,38480772,00000000000000000032,90.52564342847442,,108.04013185936577,347.202858918569,62.909544011195976,0.3239731658985811,,0.3019603991699219,0.021127913146972658,,
Boortmalt,38480213,00000000000000000033,108.19821691791131,0.004514612915039062,81.98819318450303,70.66135957608651,136.84155517226418,1.3830509972687368,,16.548959522369746,0.09750864971923828,,
Burgo Ardennes S.A.,44375332,00000000000000000034,95.85163135678874,,73.56613205125947,114.97145834735224,10.72679694333999,0.15453967852783204,,0.42837735150146483,0.0,,
Cargill,38480849,00000000000000000035,104.57105494471293,0.00916458053409352,178.48769242393357,194.37146078153035,114.54355217611999,0.7568033351641485,,11.290274612439443,0.4513004182715322,,
Cargill,38480835,00000000000000000036,96.78276617888325,0.004514612915039062,79.47279891100239,77.2768820234511,131.1161320687359,1.3698343189697266,,16.524646852501963,0.10088271936035156,,
Citrique Belge,38480248,00000000000000000037,78.96548008534602,,133.05180834530708,335.33981563760193,48.999887562138106,0.0769385869140625,,0.150401732421875,0.02733610888671875,,
Cl Warneton Sa,38480243,00000000000000000038,86.96531849836022,0.0,126.26164811114212,329.34056785684487,98.8339322236697,0.28440040368269376,,3.7562133309108363,0.06902584936523437,,
Coca-Cola European Partners Belgium,38480247,00000000000000000039,110.1082405210193,0.005990674645996094,149.07614356265088,76.15968997554938,179.09081791586834,1.1401872607570274,,13.355711278624291,0.06645253454924939,,
Cousy Bvba,38474256,0000000000000000003a,100.30508710254941,0.0017043212890625,170.4951638641132,187.5253572210999,71.27389102283935,0.06634436282456342,,1.5351603114087875,0.04259456512451172,,
Deliva,38480245,0000000000000000003b,116.142377212309,0.002840589294433594,96.80647061052129,97.00524667172232,103.2807254938323,0.4255231503216912,,3.3543852417408666,0.003408702941894531,,
Devan Chemicals,38479106,0000000000000000003c,74.07325253299008,,143.06110782518797,279.1841186327683,41.6351618807835,0.08201839514160156,,1.2409814219094668,0.021060335144042968,,
Durobor Glassware Sa,38469208,0000000000000000003d,108.36698052054462,,128.62640735301656,282.90277754083377,55.46970016431595,0.5211410358439127,,4.238107241398351,0.012014268188476562,,
Emgo,38469187,0000000000000000003e,82.92987067552012,0.01129494598388672,84.05901852085316,60.8732246519708,63.45135476700392,0.4704999659179688,,9.155294941160195,0.0942552060546875,,
Exportslachthuis Tielt,38480211,0000000000000000003f,72.73140800111734,,192.1389187433307,251.51563924047537,101.49435731806008,0.22705872869873048,,2.073361366019694,0.04766409893798828,,
Friesland Foods Belgie/Belgique,38480215,00000000000000000040,113.79370161205497,0.005089172302246094,188.59490499990613,123.51372095491246,132.39064913765458,0.5630026012063418,,4.201352009787646,0.0764203828125,,
Gaurain Cement Plant,1895170,00000000000000000041,89.42167229638385,0.004009897216796875,122.58114183770094,324.537867213471,44.24007427175268,0.3947585852661133,,2.7178691793993184,0.03546493904622395,,
Gerresheimer Momignies Sa,38469225,00000000000000000042,30.49945450454556,,95.95565331745034,40.83580130580217,8.183004725120874,0.022020122924804687,,0.12616490911865236,0.00231504052734375,,
Groep Masureel Veredeling Nv,38471111,00000000000000000043,98.72682413646605,0.0,144.12290199522965,240.36526123170637,172.40103388082238,0.443621435121065,,2.950905031194709,0.02161271075439453,,
Inex,38480214,00000000000000000044,115.22258327320844,0.011906075439453125,180.50766646761517,156.4379093165413,97.67778007336909,0.13961117401123047,,1.8590411274145984,0.18647692236328126,,
Interspinning Nv,38471018,00000000000000000045,125.05887637344127,5.6672265625E-4,183.96278216308747,170.14911706036807,119.16742517807258,0.7321973780407475,,11.138285581508024,0.34325401396268956,,
Isera And Scaldis Sugar,38480628,00000000000000000046,93.23799628801532,0.008095426158231847,174.81551934414273,210.55602559509882,91.05229323498556,0.8042547626953125,,7.628111612716614,0.3633093583014993,,
Knauf Insulation,38468968,00000000000000000047,76.15907087273405,0.0,133.49534085007832,178.85970103063966,83.32169496017247,0.9564838980712891,,7.073419962668504,0.005695134460449219,,
Konings Juices And Drinks,38480844,00000000000000000048,108.56103130292108,5.68078125E-4,156.28270379143805,258.8546051744174,67.36225201422387,0.08316120623779297,,0.1584731382446289,0.009119309020996095,,
Kraft Foods Belgium Production,38480210,00000000000000000049,132.07058612985486,0.00395776513671875,157.24887446261866,99.4527178749469,86.24585839206134,0.1418162094116211,,2.990212854796645,0.07349636895751953,,
Lampe Textiles,38472870,0000000000000000004a,74.25422396848288,,196.30625065765076,255.0134977252365,94.74036912637317,0.27475382849121094,,2.907223379029996,0.066978990234375,,
Leaf België Production Nv,38480212,0000000000000000004b,100.12525492057456,0.0022526470947265625,126.41890023915023,118.71475891281187,65.66662262804603,0.13245464849853517,,2.251957504608274,0.01408011883544922,,
Lhoist Industrie Sa - Site De On,38467373,0000000000000000004c,90.62192757491985,,94.91863792175025,41.03949486558817,14.502079921269436,0.19105940063476562,,0.18851017340087892,5.760604248046875E-4,,
