source_name,source_id,system:index,tree_cover_km2,shrubland_km2,grassland_km2,cropland_km2,built_up_km2,bare_sparse_km2,snow_ice_km2,water_km2,wetland_km2,mangroves_km2,moss_lichen_km2
Laakirchen Papier AG Pulp Mill,44375328,00000000000000000000,6.562645299369063,,7.40161819609854,32.75745248961943,4.8008757285151455,0.15730542169189454,,0.021483285105985753,,,
Mondi Neusiedler Pulp Mill,44375330,00000000000000000001,6.53330955236098,,8.363841914476103,19.788684360148345,5.097547494252883,0.2641901129760742,,6.015963745117188E-4,,,
Papierfabrik Wattens GmbH & Co KG - Delfort,44375331,00000000000000000002,2.930789361051432,,3.938298300587134,4.969432646170347,4.093256176462449,0.02137107775878906,,0.6374737511091645,,,
UPM-Kymmene Steyrermuhl Austria Pulp Mill,44375329,00000000000000000003,7.471744542973297,,6.908562875920796,32.830182358422135,4.981821705826823,0.2507655522504021,,0.13565476467979284,,,
Ybbstaler Zellstoff Pulp Mill,44375327,00000000000000000004,5.2058883978709485,,7.948984302674776,11.971316924374335,2.2775492534687114,0.14507765478515625,,0.06162918233642578,,,
Burgo Ardennes Pulp Mill,44375332,00000000000000000005,5.171712835800113,,9.138101006959682,4.125021910921702,2.307906110896571,0.0023381685791015626,,0.008774986189539292,0.0,,
Stambolijski Kraft Pulp & Paper Mill,44375334,00000000000000000006,2.1619428540773877,0.024662746459960937,8.218726692457011,34.56116137473152,7.669397834555473,0.06668962756347656,,0.0100053310546875,0.002000458984375,,
Svilocell EAD - Subsidiary of Svilosa AD,44375333,00000000000000000007,9.78339740544171,0.018894650451660156,7.899213320294072,12.562766185030844,6.267522888134529,0.050144902404785155,,7.208217273919797,0.20967708837890625,,
Svistov Pulp Plant,44375335,00000000000000000008,5.6763289578756915,0.014984773315429687,4.7090052056535345,10.486043403795437,3.7791222019792126,0.04037355078125,,4.093377367479751,0.10948251340547448,,
Biocel Paskov Pulp Mill,44375503,00000000000000000009,18.13324773817403,,11.576893104628622,19.70819600685696,6.341887725901163,0.14995364575650083,,0.356143962247482,0.006989987487792969,,
OP Papírna s.r.o. - Delfort,44375502,0000000000000000000a,5.78832615630529,,7.009416886319268,9.528037253147977,1.9272711945176069,0.0058017028559666055,,0.033041761657714844,,,
Dynos GmbH - Niederlassung Bad Durkheim,44375507,0000000000000000000b,0.0,,0.0,0.0,0.0,0.0,,0.0,,,
Essity Operations Mannheim GmbH Pulp Mill,44375511,0000000000000000000c,7.146092773694326,,3.7137934409545896,2.5386317643186107,26.65534066134105,0.030999401123046874,,2.5581935088398056,,,
GRuNPERGA Papier Pulp Mill,44375510,0000000000000000000d,6.140250513338932,,4.484814380093207,6.77080189198788,1.027685055174106,0.030201136535644532,,0.014252492065429688,,,
Heinrich Schaller Pappenfabrik e.K. Pulp Mill,44375506,0000000000000000000e,3.006491208691166,,2.7781489484590427,4.828097787924137,3.4447050270756736,0.015624274963378907,,0.024888830810546873,,,
Katz GmbH & Co. KG,44375515,0000000000000000000f,0.9237793954685581,,0.08487160768612133,0.001781237060546875,0.5140039176405963,0.0017815802001953124,,0.0,,,
Lenk Paper GmbH - Papierfabrik Schleipen,44375508,00000000000000000010,0.09435075101677388,,0.12133822921645222,0.025517351968922332,0.4938608817430683,0.0,,0.0,,,
Mercer Rosenthal GmbH - MR - Mercer International Group,44375512,00000000000000000011,2.453646869550158,,2.8652465176985196,5.636398940999347,0.5686712790383731,0.0011495335693359374,,0.036199963745117185,5.74698974609375E-4,,
Sappi Alfeld Kraft Pulp and Paper Mill,44375504,00000000000000000012,5.402071536778347,,4.709516013409543,10.52713044614354,3.5785119731514725,0.010544603149414062,,0.058280828125,,,
Sappi Stockstadt GmbH - Division of Sappi Fine Paper Europe,44375514,00000000000000000013,15.11908365887595,,5.719434936137359,6.085747938780061,11.752939198538984,0.1426767570334042,,1.6536708017673865,,,
Sappi Stockstadt Mill,44375513,00000000000000000014,15.37597632866067,,6.003066558553059,6.745764742855775,12.16058876487128,0.13620601007080077,,1.780112658357269,,,
Sprick GmbH Bielefelder Papier- und Wellpappenwerke & Co.- Hauptverwaltung,44375509,00000000000000000015,15.04469720896499,,2.4707207945824723,0.5390967588194606,19.422453349530628,0.023600049259440103,,0.04603850695800781,,,
ZS Zellstoff Stendal GmbH - Mercer Stendal,44375505,00000000000000000016,6.767672951077333,,9.796321521419749,32.940114243564054,1.7868086064824122,0.015290081970214843,,0.010920478149414062,0.0038220009765625,,
Grupo Empresarial ENCE S.A. Divisíon de Celulosa - Pulp Mill Navia,44375519,00000000000000000017,4.065412448080863,0.0,9.765849158455643,4.674792771273983,1.6239704912547395,0.015651817321777343,,0.006522076110839844,0.0,,
Grupo Empresarial ENCE S.A. Divisíon de Celulosa - Pulp Mill Pontevedra,44375518,00000000000000000018,5.025532719107835,0.005973895751953125,5.966735374689797,0.060192638508875226,5.960539058280198,0.10093997283935546,,16.093565523008337,0.2511404348036822,,
Smurfit Kappa Nervión Pulp Mill,44375517,00000000000000000019,4.414807054068532,0.0,3.4173381999207737,0.09051920043203317,3.972558686460488,0.04395452026367187,,,,,
Estonian Cell AS - Heinzel Group,44375520,0000000000000000001a,20.88572639985199,4.5803118896484374E-4,15.063681426235668,9.883142670760451,1.2633762415179084,0.20752381536865233,,13.161974247280819,1.0447856423034667,,
Aanekoski Bioproduct Pulp Mill,44375534,0000000000000000001b,14.860332101216626,,1.5401116116767437,2.686123900696399,2.524426408887078,0.13266451559448242,,23.1239426550718,0.20012499758911134,,
Enocell Pulp Mill,44375535,0000000000000000001c,32.79506067916507,0.0041134017639160156,2.864517864680032,0.3003331371674183,1.0693964642937155,0.01974384814453125,,19.408592906752048,0.40008668875337483,,4.10793701171875E-4
Kaskinen Pulp Mill,44375536,0000000000000000001d,,,,,,,,78.06998266998906,,,
Metsä Board Cartonboard Division Joutseno Mill,44375525,0000000000000000001e,16.702717805150293,0.0056677073974609376,1.8309350260288615,7.334396533702772,2.75450425722381,0.07080691306248083,,21.03562325522564,0.15041549728393555,,
Metsä Board Linerboard and Paper Division Kaskinen Mill,44375524,0000000000000000001f,19.03801111556219,0.003765046875,2.007649783834539,0.14983714093017578,1.2875461081237793,0.06285865145874023,,28.018394610107176,1.2053504651430613,,
Metsä Fibre Oy - Joutseno Mill,44375526,00000000000000000020,15.939187698415717,0.0056677073974609376,1.5532335380187987,4.987716403264903,2.6345702203203984,0.06462326481000115,,26.12181552677142,0.15172413931274414,,
Metsä Fibre Oy - Rauma Mill,44375529,00000000000000000021,17.139707735257016,8.738570556640625E-4,2.878998856197102,1.1441898506174124,7.061241571184226,0.49297300772094726,,29.357751613425986,0.3810714000566071,,
Metsä Fibre Oy - Äänekoski Mill,44375521,00000000000000000022,15.664048054355272,,1.4590197698388194,2.449727750582587,2.573508612632961,0.13185424803119736,,21.994978043660293,0.20584841336239085,,
Metsä Fibre Oy Pulp Mill,44375522,00000000000000000023,10.637862396999825,,2.1654533451395657,0.26741312598517913,10.224379766884837,0.13864488965920843,,28.995154499815357,0.28434447145481484,,
