iso3_country,year,technology,income_group,wb_region,capex_$/kw,fom_$/kw/yr,vom_$/mwh,lcoe_$/mwh,wacc_nominal,crf,annual_cost_$/kw/yr,data_source,capex_source,crf_source,proxy_peers,country_name
ABW,2025,PV fixed-axis,HIC,Latin America & Caribbean,623.4,13.9697,0,45.95,,0.089378,69.69,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Aruba
ABW,2030,PV fixed-axis,HIC,Latin America & Caribbean,497.26,13.0839,0,36.88,,0.089378,57.53,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Aruba
AFG,2025,PV fixed-axis,LIC,South Asia,573.91,12.2751,0,44.09,,0.142799,94.23,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Afghanistan
AFG,2030,PV fixed-axis,LIC,South Asia,462.06,11.5,0,34.46,,0.142799,77.48,proxied,global_mean,peer_mean,ARE|AUS|CAN|CHN|DEU|ESP|FRA|GBR|IDN|IND|ITA|JPN|KOR|MYS|PHL|THA|USA|VNM|ZAF,Afghanistan
AGO,2025,PV fixed-axis,LMIC,Sub-Saharan Africa,457.05,8.6566,0,39.05,,0.142378,73.73,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Angola
AGO,2030,PV fixed-axis,LMIC,Sub-Saharan Africa,390.9,8.1074,0,29.11,,0.142378,63.76,proxied,peer_mean_income,peer_mean,IND|PHL|VNM,Angola
ALB,2025,PV fixed-axis,UMIC,Europe & Central Asia,535.15,10.7181,0,43.04,,0.149642,90.8,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Albania
ALB,2030,PV fixed-axis,UMIC,Europe & Central Asia,427.3,10.0509,0,32.32,,0.149642,73.99,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Albania
AND,2025,PV fixed-axis,HIC,Europe & Central Asia,505.11,11.1583,0,41.62,,0.078098,50.61,proxied,peer_mean_region_income,peer_mean,DEU|ESP|FRA|GBR|ITA,Andorra
AND,2030,PV fixed-axis,HIC,Europe & Central Asia,429.06,10.4559,0,35.54,,0.078098,43.96,proxied,peer_mean_region_income,peer_mean,DEU|ESP|FRA|GBR|ITA,Andorra
ARE,2025,PV fixed-axis,HIC,Middle East & North Africa,492.19,11.8838,0,28.97,0.077296,0.091525,56.93,bnef,bnef,irena,,United Arab Emirates
ARE,2030,PV fixed-axis,HIC,Middle East & North Africa,446.22,11.1281,0,24.91,0.077296,0.091525,51.97,bnef,bnef,irena,,United Arab Emirates
ARG,2025,PV fixed-axis,UMIC,Latin America & Caribbean,535.15,10.7181,0,43.04,0.294177,0.294644,168.4,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Argentina
ARG,2030,PV fixed-axis,UMIC,Latin America & Caribbean,427.3,10.0509,0,32.32,0.294177,0.294644,135.95,proxied,peer_mean_income,irena,CHN|IDN|MYS|THA|ZAF,Argentina
ARM,2025,PV fixed-axis,UMIC,Europe & Central Asia,535.15,10.7181,0,43.04,,0.149642,90.8,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Armenia
ARM,2030,PV fixed-axis,UMIC,Europe & Central Asia,427.3,10.0509,0,32.32,,0.149642,73.99,proxied,peer_mean_income,peer_mean,CHN|IDN|MYS|THA|ZAF,Armenia
ATG,2025,PV fixed-axis,HIC,Latin America & Caribbean,623.4,13.9697,0,45.95,,0.089378,69.69,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Antigua and Barbuda
ATG,2030,PV fixed-axis,HIC,Latin America & Caribbean,497.26,13.0839,0,36.88,,0.089378,57.53,proxied,peer_mean_income,peer_mean,ARE|AUS|CAN|DEU|ESP|FRA|GBR|ITA|JPN|KOR|USA,Antigua and Barbuda
AUS,2025,PV fixed-axis,HIC,East Asia & Pacific,608.67,12.7097,0,39.78,0.056956,0.075979,58.96,bnef,bnef,irena,,Australia
AUS,2030,PV fixed-axis,HIC,East Asia & Pacific,448.2,11.9097,0,28.32,0.056956,0.075979,45.96,bnef,bnef,irena,,Australia
