Subsector,Process,SEC_Fuels_GJ/t,SEC_Electricity_GJ/t,Fuels_share_for_heating,Electricity_share_for_heating,Process_heat_below100C,Process_heat_100C-200C,Process_heat_200C-500C,Process_heat_500C-1000C,Process_heat_above1000C,Fuels_share_for_cooling,Electricity_share_for_cooling,Process_cooling_below-30C,Process_cooling_-30-0C,Process_cooling_0-15C,Literature_for_heating_and_cooling_demand,Excess_heat_share_of_fuels_at_100-200C,Excess_heat_share_of_fuels_at_200-500C,Excess_heat_share_of_fuels_at_above500C,Excess_heat_share_of_electricity_at_100-200C,Excess_heat_share_of_electricity_at_200-500C,Excess_heat_share_of_electricity_at_above500_C,Literature_for_excess_heat
 Iron and steel,Sinter,2.24,0.13,1.00,,,,0.20,0.80,,,,,,,Arens et al. 2012; Arens et al. 2016,,0.33,,,,,McKenna 2008
 Iron and steel,Blast furnace,11.64,0.60,1.00,,0.01,0.01,0.11,0.20,0.67,,,,,,Arens et al. 2012; Arens et al. 2016,0.03,,,,,,McKenna 2008
 Iron and steel,Electric arc furnace,0.98,2.28,1.00,0.95,,0.01,,0.10,0.89,,,,,,Arens et al. 2012; Arens et al. 2016,,0.30,,,,0.08,Element energy et al 2016; Rehfeldt 2014
 Iron and steel,Rolled steel,2.39,0.60,1.00,0.10,,,,0.20,0.80,,,,,,Arens et al. 2012; Arens et al. 2016,,0.12,,,,,Rehfeldt 2014
 Iron and steel,Coke oven,3.20,0.12,1.00,,,,,0.20,0.80,,,,,,Brauer 1996,,,0.06,,,,McKenna 2008
 Iron and steel,Smelting reduction,15.00,0.42,1.00,,,,,0.20,0.80,,,,,,Hara et al. 1999; Primetals 2015,,,,,,,
 Iron and steel,Direct reduction,15.00,0.42,1.00,,,,0.20,0.80,,,,,,,Midrex 2013; Cheeley 1999,,0.25,,,,,Rehfeldt 2014
 Non-ferrous metals,Aluminum primary,5.20,53.64,1.00,0.05,,,,1.00,,,,,,,Fleiter et al. 2013; Winnacker-Küchler 2006,,,,0.10,,,McKenna 2008
 Non-ferrous metals,Aluminum secondary,9.00,1.67,1.00,0.30,0.28,,0.30,0.42,,,,,,,Krone 2000,,0.20,,,,,Rehfeldt 2014
 Non-ferrous metals,Aluminum extruding,4.20,4.80,1.00,0.30,,,1.00,,,,,,,,Krone 2000,,,,,,,
 Non-ferrous metals,Aluminum foundries,7.20,5.60,1.00,0.30,,,,1.00,,,,,,,Fleiter et al. 2013; Krone 2000,,0.20,,,,,Rehfeldt 2014
 Non-ferrous metals,Aluminium rolling,3.30,2.20,1.00,0.30,,,1.00,,,,,,,,Krone 2000,,,,,,,
 Non-ferrous metals,Copper primary,8.00,2.79,1.00,0.20,,,,,1.00,,,,,,Fleiter et al. 2013; Winnacker-Küchler 2006,0.42,,,,,,Aurubis Hamburg Umwelterklärung und FW Ausbau
 Non-ferrous metals,Copper secondary,4.00,2.33,1.00,0.10,,,,1.00,,,,,,,Winnacker-Küchler 2006,,,,,,,
 Non-ferrous metals,Copper further treatment,2.00,3.78,1.00,0.15,,,1.00,,,,,,,,Winnacker-Küchler 2006,,,,,,,
 Non-ferrous metals,Zinc primary,1.00,15.90,1.00,0.01,,,,,1.00,,,,,,Winnacker-Küchler 2006,,,,,,,
 Non-ferrous metals,Zinc secondary,1.00,0.60,1.00,0.01,,,1.00,,,,,,,,Winnacker-Küchler 2006,,0.18,,,,,Rehfeldt 2014
 Paper and Printing,Paper,5.50,1.91,1.00,0.01,0.05,0.88,0.05,0.02,,,0.01,,,1.00,Fleiter et al. 2013; Fleiter et al. 2012; van Deventer 1997,0.10,,,,,,McKenna 2008
