iso3_country,heat_below100C_tj,heat_100C-200C_tj,heat_200C-500C_tj,heat_500C-1000C_tj,heat_above1000C_tj,total
DEU,12.62,17.32,6.85,67.22,21.37,125.38
FRA,10.04,11.25,3.48,29.85,8.69,63.31
ITA,8.67,7.48,3.51,17.97,12.26,49.89
NLD,4.3,3.36,1.44,34.81,5.65,49.56
ESP,5.77,8.57,2.75,21.46,8.64,47.2
GBR,6.57,4.99,1.97,17.65,3.66,34.85
POL,4.94,8.09,1.96,12.53,6.24,33.77
BEL,3.28,3.18,1.21,20.18,4.37,32.23
FIN,0.96,16.29,0.66,4.46,1.61,23.99
SWE,0.75,10.68,0.97,7.86,1.75,22.02
AUT,1.29,3.66,1.14,8.37,3.08,17.53
PRT,1.63,5.58,0.74,5.17,1.82,14.95
CZE,1.69,2.37,0.97,6.29,1.64,12.95
ROU,1.43,1.82,0.87,4.1,2.91,11.13
HUN,1.27,1.02,0.45,6.41,0.97,10.11
BGR,1.42,2.28,0.3,2.79,1.63,8.42
SVK,0.35,0.8,0.49,4.56,2.11,8.31
IRL,1.02,3.37,0.33,2.23,0.68,7.64
GRC,0.93,0.68,0.51,2.66,1.69,6.47
DNK,1.19,0.87,0.27,0.68,0.27,3.28
HRV,0.36,0.34,0.2,1.01,0.48,2.37
LTU,0.4,0.29,0.11,0.86,0.41,2.08
LUX,0.01,0.07,0.11,0.23,0.79,1.21
SVN,0.04,0.17,0.1,0.32,0.39,1.02
CYP,0.0,0.0,0.03,0.2,0.1,0.34
LVA,0.02,0.01,0.03,0.17,0.09,0.33
EST,0.02,0.21,0.03,0.02,0.02,0.29
