subsector,<100°C,100–200°C,200–500°C,500–1000°C,>1000°C,total
petrochemical-steam-cracking,0.0,0.0,0.0,156.92,0.0,156.92
food-beverage-tobacco,53.63,38.69,8.17,10.02,0.0,110.51
iron-and-steel,0.0,0.07,9.09,46.88,45.72,101.75
cement,0.0,0.0,6.5,39.01,19.5,65.02
pulp-and-paper,1.09,51.44,1.09,0.43,0.0,54.05
chemicals,5.78,7.71,0.0,15.03,15.8,44.32
textiles-leather-apparel,10.15,6.46,1.84,0.0,0.0,18.45
glass,0.33,3.3,4.79,3.47,4.38,16.26
lime,0.0,0.0,0.0,5.28,7.92,13.2
aluminum,0.0,7.08,0.0,3.04,0.0,10.11
