,bottom_up_twh,bottom_up_twh,bottom_up_twh,bottom_up_twh,reference_twh,reference_twh,reference_twh,reference_twh
,<100C,100-400C,400-1000C,>1000C,<100C,100-400C,400-1000C,>1000C
sector,,,,,,,,
Cement (+lime),0.0,6.2,42.481,26.521,2.973,0.0,24.438,48.438
Chemicals,5.428,7.238,159.466,15.191,11.778,125.272,35.448,0.0
"Food, Bev & Tobacco",48.823,42.659,9.117,0.0,21.035,81.979,0.0,0.0
Glass,0.309,7.693,3.298,4.17,1.489,12.414,1.614,90.587
Non-ferrous Metals,0.0,7.076,3.021,0.0,0.181,7.23,0.927,13.861
Pulp & Paper,1.087,52.531,0.435,0.0,79.22,119.157,5.007,0.0
Steel,0.0,8.703,44.599,43.779,0.535,7.938,11.885,79.163
Textiles & Leather,8.754,7.162,0.0,0.0,3.711,7.807,0.0,0.0
