source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t
38480613,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.243057,16.702778,USD,,,200029.63951204813,2024,,
38480620,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.32478,16.038471,USD,,,200029.63951204813,2024,,
32267416,Austria,soda_ash,AUT,manufacturing,chemicals,47.6139487927463,14.076158884337072,t of chemical,182256.0,0.7782408388805239,60281.60149067872,2024,182256.0,141839.06233100875
38480528,Bunge Austria Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.022446,16.754778,USD,,,200029.63951204813,2024,,
38469135,D.Swarovski Kg,Glass Manufacturing,AUT,manufacturing,glass,47.29778,11.598611,USD,,,25206.02131318956,2024,,
38479269,Eibetex,Packaging|Product Finishing|Filling|Filling Of Product,AUT,manufacturing,textiles-leather-apparel,48.81547,15.2833,USD,,,9237.590048999526,2024,,
32437243,Gartenau Cement Plant,integrated dry,AUT,manufacturing,cement,47.7235279928077,13.0492860026401,t of cement,1100000.00004,0.5916168853212139,367592.27747500007,2024,1100000.00004,650778.573877
38473498,Getzner Textil Ag,Dyeing,AUT,manufacturing,textiles-leather-apparel,47.1518218,9.8236408,USD,,,9237.590048999526,2024,,
32437244,Gmunden Cement Plant,integrated dry,AUT,manufacturing,cement,47.9225966590857,13.7778374280392,t of cement,799999.9999800002,0.7058069091251451,286642.30191299994,2024,799999.9999800002,564645.5272860001
38477448,Gottstein Gmbh & Co.Kg (#),Cut & Sew|Cutting|Embroidery|Washing|Ironing|Knit Composite|Packaging|Product Finishing|Knitting Seamless|Milling|Quality Control|Labelling,AUT,manufacturing,textiles-leather-apparel,47.2581587,10.677482,USD,,,9237.590048999526,2024,,
38472832,Hefel Textil Gmbh,Cut & Sew|Washing|Ironing|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,48.4366178,14.5399221,USD,,,9237.590048999526,2024,,
38479518,Heratex (#),Cut & Sew|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,47.4596131,13.9909218,USD,,,9237.590048999526,2024,,
