source_id,source_name,source_type,iso3_country,sector,subsector,lat,lon,capacity_units,capacity,capacity_factor,annual_emissions_co2e_t,year,annual_capacity_t,annual_output_t,distance_km,SiteID,CompanyName,SiteName,City,Country,Subsector,Emissions_ETS_2014,production_2014_t,Fuel_Demand,Excess_Heat_Total,hm_lat,hm_lon,name_similarity,match_confidence,output_ratio_2024_2014
38480613,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.243057,16.702778,USD,,,200029.63951204813,2024,,,,,,,,,,,,,,,,,unmatched,
38480620,Agrana Zucker Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.32478,16.038471,USD,,,200029.63951204813,2024,,,,,,,,,,,,,,,,,unmatched,
32267416,Austria,soda_ash,AUT,manufacturing,chemicals,47.6139487927463,14.076158884337072,t of chemical,182256.0,0.7782408388805239,60281.60149067872,2024,182256.0,141839.06233100875,,,,,,,,,,,,,,,unmatched,
38480528,Bunge Austria Gmbh,Animal And Vegetable Products From The Food And Beverage Sector,AUT,manufacturing,food-beverage-tobacco,48.022446,16.754778,USD,,,200029.63951204813,2024,,,,,,,,,,,,,,,,,unmatched,
38469135,D.Swarovski Kg,Glass Manufacturing,AUT,manufacturing,glass,47.29778,11.598611,USD,,,25206.02131318956,2024,,,0.4591019206069721,1675.0,D. Swarovski KG,Swarovski Wattens,Wattens,Austria,Glass,13951.0,,,0.0,47.295053,11.59404,1.0,high,
38479269,Eibetex,Packaging|Product Finishing|Filling|Filling Of Product,AUT,manufacturing,textiles-leather-apparel,48.81547,15.2833,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
32437243,Gartenau Cement Plant,integrated dry,AUT,manufacturing,cement,47.7235279928077,13.0492860026401,t of cement,1100000.00004,0.5916168853212139,367592.27747500007,2024,1100000.00004,650778.573877,0.3355028850689858,19.0,,Zementwerk Leube GmbH,St. Leonhard,Austria,Cement,245218.0,450023.16,437.52,65.62,47.721443,13.052528,0.3333333333333333,high,1.4461001826594881
38473498,Getzner Textil Ag,Dyeing,AUT,manufacturing,textiles-leather-apparel,47.1518218,9.8236408,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
32437244,Gmunden Cement Plant,integrated dry,AUT,manufacturing,cement,47.9225966590857,13.7778374280392,t of cement,799999.9999800002,0.7058069091251451,286642.30191299994,2024,799999.9999800002,564645.5272860001,0.0237142204426301,5.0,Zementwerk Hatschek GmbH,Zementwerk Hatschek GmbH,Gmunden,Austria,Cement,331127.0,607683.04,590.8,88.62,47.92278,13.778,0.30303030303030304,high,0.9291776964616292
38477448,Gottstein Gmbh & Co.Kg (#),Cut & Sew|Cutting|Embroidery|Washing|Ironing|Knit Composite|Packaging|Product Finishing|Knitting Seamless|Milling|Quality Control|Labelling,AUT,manufacturing,textiles-leather-apparel,47.2581587,10.677482,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
38472832,Hefel Textil Gmbh,Cut & Sew|Washing|Ironing|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,48.4366178,14.5399221,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
38479518,Heratex (#),Cut & Sew|Packaging|Product Finishing,AUT,manufacturing,textiles-leather-apparel,47.4596131,13.9909218,USD,,,9237.590048999526,2024,,,,,,,,,,,,,,,,,unmatched,
