country,total_tj,solid_fossil_fuels_tj,oil_shale_and_oil_sands_tj,natural_gas_tj,oil_and_petroleum_products_excluding_biofuel_portion_tj,fossil_total_tj,fossil_share
Italy,88458.452,0,0,52586.476,6233.991,58820.467,0.664950219
Slovenia,5423.351,105.149,0,3225.811,66.827,3397.787,0.62651062
Croatia,3150.74,0,0,1886.445,63.555,1950,0.618902226
Georgia,169.637,0,0,102.731,0,102.731,0.605593119
Netherlands,17573.672,0,0,10592.914,9.04,10601.954,0.603286211
Turkeye,38463.046,15297.815,0,5858.477,180.73,21337.022,0.554740828
Montenegro,42.219,0,0,0,21.339,21.339,0.505435941
Greece,3400.169,0,0,1140.792,555.069,1695.861,0.498757856
Latvia,221.334,0,0,78.722,31.608,110.33,0.498477414
Albania,407.01,0,0,0,198.516,198.516,0.487742316
Romania,6344.448,0.834,0,2919.657,14.47,2934.961,0.462603051
Denmark,2610.265,0,0,809.103,379.006,1188.109,0.455167962
Ireland,535.253,0,0,188.975,41.248,230.223,0.430119962
Cyprus,65.093,0,0,0,27.508,27.508,0.422595364
Spain,79377.851,0,0,29074.5,2088.594,31163.094,0.392591808
Germany,191189.495,4596.065,0,68107.82,1063.678,73767.563,0.385834813
Luxembourg,286.936,0,0,105.003,1.742,106.745,0.372016756
North Macedonia,134.15,0,0,23.191,26.113,49.304,0.367528886
Serbia,4937.729,137.088,0,1585.963,57.872,1780.923,0.360676538
Bosnia and Herzegovina,1211.201,9.133,0,1.8,419.069,430.002,0.355021173
Hungary,10440.861,803.52,0,2277.9,105.041,3186.461,0.305191401
France,93151.033,0,0,25170.467,1741.169,26911.636,0.288903248
European Union - 27 countries (from 2020),1057438.827,12036.328,0,248926.771,25674.474,286637.573,0.271067759
Poland,64642.328,4369.766,0,9898.456,1340.617,15608.839,0.241464679
Belgium,23009.086,393.466,0,4737.411,393.69,5524.567,0.240103714
Austria,64254.392,912.954,0,14293.633,184.755,15391.342,0.239537587
Moldova,95.481,0.25,0,18.63,0.921,19.801,0.207381573
Lithuania,2099.019,0,0,421.355,8.864,430.219,0.204961937
Estonia,3352.671,0,0,468.476,66.702,535.178,0.159627354
Czechia,28213.352,764.826,0,3135.558,289.4,4189.784,0.148503588
Bulgaria,5469.547,42.122,0,745.193,16.053,803.368,0.146880171
Portugal,60728.367,0,0,6133.748,1137.935,7271.683,0.119741125
Malta,171.008,0,0,0,18.098,18.098,0.105831306
Sweden,72557.08,0,0,379.333,5793.495,6172.828,0.085075474
Slovakia,14347.81,0,0,1189.81,0,1189.81,0.082926244
Finland,216365.214,47.626,0,9359.213,4002.319,13409.158,0.061974648
Norway,16837.67,0,0,548.225,374.966,923.191,0.054828904
Iceland,23.749,0,0,0,0,0,0
Kosovo*,6.768,0,0,0,0,0,0
