subsector,nace_r2,geo,fossil_tj,biomass_tj,reliable,fossil_share,fossil_share_eu27,fossil_share_final
aluminum,C2442,AT,4796.431,38.577,True,0.9920213162005109,0.9988688054044405,0.9920213162005109
aluminum,C2442,BE,1012.344,0.24,True,0.9997629826266266,0.9988688054044405,0.9997629826266266
aluminum,C2442,BG,666.1210000000001,0.076,True,0.9998859196303795,0.9988688054044405,0.9998859196303795
aluminum,C2442,CY,28.832,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,CZ,1189.873,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,DE,17655.574,4.0,True,0.9997734939698998,0.9988688054044405,0.9997734939698998
aluminum,C2442,DK,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,EE,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,EL,10621.45,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,ES,8598.631000000001,5.835,True,0.9993218637856203,0.9988688054044405,0.9993218637856203
aluminum,C2442,EU27,66028.793,74.776,True,0.9988688054044405,0.9988688054044405,0.9988688054044405
aluminum,C2442,FI,173.226,26.0,True,0.8694949454388483,0.9988688054044405,0.8694949454388483
aluminum,C2442,FR,6790.252,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,HR,34.819,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,HU,1880.356,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,IE,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,IT,3615.494,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,LT,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,LU,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,LV,38.422,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,MD,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,ME,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,MT,0.0,0.0,False,,0.9988688054044405,0.9988688054044405
aluminum,C2442,NL,1033.498,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,PL,1478.9339999999997,0.048,True,0.9999675452439584,0.9988688054044405,0.9999675452439584
aluminum,C2442,PT,606.649,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,RO,1776.474,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,RS,624.6410000000001,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,SE,666.473,0.0,True,1.0,0.9988688054044405,1.0
aluminum,C2442,SI,1370.824,0.0,False,1.0,0.9988688054044405,0.9988688054044405
aluminum,C2442,SK,1994.116,0.0,False,1.0,0.9988688054044405,0.9988688054044405
cement,C235,AT,24558.540999999997,3598.556,True,0.8721971941922848,0.8413256574084468,0.8721971941922848
cement,C235,BE,14620.363000000001,4924.6,False,0.748037384363429,0.8413256574084468,0.8413256574084468
cement,C235,BG,6261.853,2594.541,False,0.7070431825865019,0.8413256574084468,0.8413256574084468
cement,C235,CY,4172.321,1198.405,True,0.7768635003908224,0.8413256574084468,0.7768635003908224
cement,C235,CZ,2383.813,0.0,False,1.0,0.8413256574084468,0.8413256574084468
cement,C235,DE,80715.477,16908.332,True,0.8268011443806705,0.8413256574084468,0.8268011443806705
cement,C235,DK,0.0,0.0,False,,0.8413256574084468,0.8413256574084468
cement,C235,EE,0.0,0.0,False,,0.8413256574084468,0.8413256574084468
cement,C235,EL,40.093,695.04,False,0.0545384304608826,0.8413256574084468,0.8413256574084468
cement,C235,ES,55308.288,14101.748,True,0.7968341638664473,0.8413256574084468,0.7968341638664473
cement,C235,EU27,395826.478,74653.026,True,0.8413256574084468,0.8413256574084468,0.8413256574084468
cement,C235,FI,3006.398,651.0,True,0.8220046054599472,0.8413256574084468,0.8220046054599472
cement,C235,FR,20273.922,6708.255,True,0.751381995603987,0.8413256574084468,0.751381995603987
cement,C235,HR,8380.826000000001,243.414,True,0.9717755999369219,0.8413256574084468,0.9717755999369219
