country,sector,nace,total_tj,fossil_sum_tj,fossil_share,data_available,lookup_key
Albania,C17 — All paper & pulp,C17,,0.0,,No,Albania|C17
Albania,C17_X_C1711 — Paper excl. pulp,C17xP,,0.0,,No,Albania|C17xP
Albania,C1711 — Pulp only,C1711,,0.0,,No,Albania|C1711
Austria,C17 — All paper & pulp,C17,61834.396,17366.4,0.2808533942823668,Yes,Austria|C17
Austria,C17_X_C1711 — Paper excl. pulp,C17xP,9197.39,0.0,0.0,Yes,Austria|C17xP
Austria,C1711 — Pulp only,C1711,52637.006,17366.4,0.3299275798475316,Yes,Austria|C1711
Belgium,C17 — All paper & pulp,C17,22562.816,883.4,0.039152914246165016,Yes,Belgium|C17
Belgium,C17_X_C1711 — Paper excl. pulp,C17xP,,640.2,,No,Belgium|C17xP
Belgium,C1711 — Pulp only,C1711,,243.2,,No,Belgium|C1711
Bulgaria,C17 — All paper & pulp,C17,,914.0,,No,Bulgaria|C17
Bulgaria,C17_X_C1711 — Paper excl. pulp,C17xP,,11.3,,No,Bulgaria|C17xP
Bulgaria,C1711 — Pulp only,C1711,,0.0,,No,Bulgaria|C1711
Croatia,C17 — All paper & pulp,C17,1987.634,1091.0,0.5488938104298879,Yes,Croatia|C17
Croatia,C17_X_C1711 — Paper excl. pulp,C17xP,1987.634,1091.0,0.5488938104298879,Yes,Croatia|C17xP
Croatia,C1711 — Pulp only,C1711,0.0,0.0,,Yes,Croatia|C1711
Cyprus,C17 — All paper & pulp,C17,19.948,8.6,0.43112091437738115,Yes,Cyprus|C17
Cyprus,C17_X_C1711 — Paper excl. pulp,C17xP,19.854,8.6,0.4331620832074141,Yes,Cyprus|C17xP
Cyprus,C1711 — Pulp only,C1711,0.094,0.0,0.0,Yes,Cyprus|C1711
Czechia,C17 — All paper & pulp,C17,,5206.2,,No,Czechia|C17
Czechia,C17_X_C1711 — Paper excl. pulp,C17xP,,1674.6,,No,Czechia|C17xP
Czechia,C1711 — Pulp only,C1711,,0.0,,No,Czechia|C1711
Denmark,C17 — All paper & pulp,C17,2282.649,1110.8,0.48662759802317396,Yes,Denmark|C17
Denmark,C17_X_C1711 — Paper excl. pulp,C17xP,2282.649,1110.8,0.48662759802317396,Yes,Denmark|C17xP
Denmark,C1711 — Pulp only,C1711,0.0,0.0,,Yes,Denmark|C1711
Estonia,C17 — All paper & pulp,C17,1746.264,420.4,0.24074252232193988,Yes,Estonia|C17
Estonia,C17_X_C1711 — Paper excl. pulp,C17xP,828.94,121.1,0.14609018746833305,Yes,Estonia|C17xP
Estonia,C1711 — Pulp only,C1711,917.323,299.3,0.3262754776670813,Yes,Estonia|C1711
Finland,C17 — All paper & pulp,C17,212799.209,18002.6,0.08459899867390953,Yes,Finland|C17
Finland,C17_X_C1711 — Paper excl. pulp,C17xP,103077.948,11307.1,0.1096946555435892,Yes,Finland|C17xP
Finland,C1711 — Pulp only,C1711,109721.261,6695.5,0.06102281307175279,Yes,Finland|C1711
France,C17 — All paper & pulp,C17,73551.671,24104.5,0.3277219901638944,Yes,France|C17
France,C17_X_C1711 — Paper excl. pulp,C17xP,51435.385,22445.7,0.4363863515360097,Yes,France|C17xP
France,C1711 — Pulp only,C1711,22116.286,0.0,0.0,Yes,France|C1711
